cedula,nombre,apellido,email,telefono,carreraId,facultadId,universidadId,promedioNotas,creditosAprobados,creditosTotales,semestreActual,fechaIngreso,estadoMatricula,asistenciaPromedio,materiasReprobadas,diasUltimaActividad,estadoSocioeconomico,fechaNacimiento,direccion
10001001,Ana,Martinez,ana.martinez@universidad.edu,555-0101,ING_SISTEMAS,INGENIERIA,UNIV001,1.8,30,180,5,2023-03-01,ACTIVO,45,4,35,BAJO,2003-05-15,Calle 1 #123
10001002,Carlos,Rodriguez,carlos.rodriguez@universidad.edu,555-0102,ADMINISTRACION,NEGOCIOS,UNIV001,1.9,25,160,4,2023-08-01,ACTIVO,48,3,32,MEDIO_BAJO,2004-01-20,Av. Principal 456
10001003,Maria,Lopez,maria.lopez@universidad.edu,555-0103,PSICOLOGIA,HUMANIDADES,UNIV001,2.0,35,180,6,2022-03-01,ACTIVO,50,3,30,BAJO,2002-11-10,Carrera 7 #89
10001004,Juan,Gonzalez,juan.gonzalez@universidad.edu,555-0104,DERECHO,JURIDICA,UNIV001,1.7,20,200,3,2024-03-01,ACTIVO,42,5,40,MEDIO_BAJO,2005-03-25,Calle 45 #678
10001005,Laura,Silva,laura.silva@universidad.edu,555-0105,MEDICINA,SALUD,UNIV001,1.9,40,240,7,2021-08-01,ACTIVO,46,4,33,BAJO,2001-07-08,Diagonal 12 #345
10001006,Pedro,Ramirez,pedro.ramirez@universidad.edu,555-0106,ING_INDUSTRIAL,INGENIERIA,UNIV001,1.8,28,180,5,2023-03-01,ACTIVO,44,4,36,MEDIO_BAJO,2003-09-14,Av. Norte #234
10001007,Sofia,Torres,sofia.torres@universidad.edu,555-0107,ARQUITECTURA,DISEÑO,UNIV001,2.0,32,170,5,2023-03-01,ACTIVO,49,3,31,BAJO,2003-12-03,Calle Sur 567
10001008,Diego,Hernandez,diego.hernandez@universidad.edu,555-0108,CONTADURIA,NEGOCIOS,UNIV001,1.7,22,160,4,2023-08-01,ACTIVO,43,5,38,MEDIO_BAJO,2004-04-18,Carrera 15 #890
10001009,Valentina,Castro,valentina.castro@universidad.edu,555-0109,ING_SISTEMAS,INGENIERIA,UNIV001,1.9,38,180,6,2022-03-01,ACTIVO,47,4,34,BAJO,2002-06-22,Calle 20 #123
10001010,Andres,Morales,andres.morales@universidad.edu,555-0110,ADMINISTRACION,NEGOCIOS,UNIV001,1.8,26,160,4,2023-08-01,ACTIVO,45,4,35,MEDIO_BAJO,2004-02-11,Av. Central 456
10002001,Lucia,Jimenez,lucia.jimenez@universidad.edu,555-0201,PSICOLOGIA,HUMANIDADES,UNIV001,2.5,45,180,6,2022-03-01,ACTIVO,55,3,25,MEDIO,2002-08-30,Diagonal 8 #789
10002002,Miguel,Vargas,miguel.vargas@universidad.edu,555-0202,DERECHO,JURIDICA,UNIV001,2.3,30,200,3,2024-03-01,ACTIVO,52,2,28,BAJO,2005-01-15,Calle 10 #234
10002003,Isabella,Mendoza,isabella.mendoza@universidad.edu,555-0203,MEDICINA,SALUD,UNIV001,2.4,55,240,7,2021-08-01,ACTIVO,58,3,22,MEDIO_BAJO,2001-10-05,Av. Sur #567
10002004,Sebastian,Guerrero,sebastian.guerrero@universidad.edu,555-0204,ING_INDUSTRIAL,INGENIERIA,UNIV001,2.6,42,180,5,2023-03-01,ACTIVO,60,2,20,MEDIO,2003-03-28,Carrera 20 #890
10002005,Camila,Ortiz,camila.ortiz@universidad.edu,555-0205,ARQUITECTURA,DISEÑO,UNIV001,2.2,38,170,5,2023-03-01,ACTIVO,54,3,26,BAJO,2003-07-19,Calle 25 #123
10002006,Nicolas,Peña,nicolas.pena@universidad.edu,555-0206,CONTADURIA,NEGOCIOS,UNIV001,2.5,35,160,4,2023-08-01,ACTIVO,57,2,23,MEDIO,2004-05-12,Diagonal 15 #456
10002007,Daniela,Rojas,daniela.rojas@universidad.edu,555-0207,ING_SISTEMAS,INGENIERIA,UNIV001,2.3,48,180,6,2022-03-01,ACTIVO,56,3,24,MEDIO_BAJO,2002-09-08,Av. Este #789
10002008,Alejandro,Suarez,alejandro.suarez@universidad.edu,555-0208,ADMINISTRACION,NEGOCIOS,UNIV001,2.4,32,160,4,2023-08-01,ACTIVO,59,2,21,MEDIO,2004-11-25,Calle 30 #234
10002009,Paula,Herrera,paula.herrera@universidad.edu,555-0209,PSICOLOGIA,HUMANIDADES,UNIV001,2.6,50,180,6,2022-03-01,ACTIVO,61,2,19,BAJO,2002-04-14,Carrera 25 #567
10002010,Jorge,Diaz,jorge.diaz@universidad.edu,555-0210,DERECHO,JURIDICA,UNIV001,2.2,28,200,3,2024-03-01,ACTIVO,53,3,27,MEDIO_BAJO,2005-06-30,Diagonal 20 #890
10003001,Carmen,Moreno,carmen.moreno@universidad.edu,555-0301,MEDICINA,SALUD,UNIV001,3.2,65,240,7,2021-08-01,ACTIVO,72,1,12,MEDIO,2001-12-20,Calle 35 #123
10003002,Ricardo,Gutierrez,ricardo.gutierrez@universidad.edu,555-0302,ING_INDUSTRIAL,INGENIERIA,UNIV001,3.0,52,180,5,2023-03-01,ACTIVO,70,2,14,MEDIO_BAJO,2003-02-18,Av. Oeste #456
10003003,Natalia,Cruz,natalia.cruz@universidad.edu,555-0303,ARQUITECTURA,DISEÑO,UNIV001,3.3,48,170,5,2023-03-01,ACTIVO,74,1,10,MEDIO,2003-08-07,Carrera 30 #789
10003004,Fernando,Medina,fernando.medina@universidad.edu,555-0304,CONTADURIA,NEGOCIOS,UNIV001,2.9,40,160,4,2023-08-01,ACTIVO,68,2,16,BAJO,2004-03-03,Diagonal 25 #234
10003005,Monica,Aguilar,monica.aguilar@universidad.edu,555-0305,ING_SISTEMAS,INGENIERIA,UNIV001,3.1,58,180,6,2022-03-01,ACTIVO,71,1,13,MEDIO_BAJO,2002-10-16,Calle 40 #567
10003006,Roberto,Flores,roberto.flores@universidad.edu,555-0306,ADMINISTRACION,NEGOCIOS,UNIV001,3.2,38,160,4,2023-08-01,ACTIVO,73,1,11,MEDIO,2004-07-24,Av. Norte #890
10003007,Andrea,Vega,andrea.vega@universidad.edu,555-0307,PSICOLOGIA,HUMANIDADES,UNIV001,2.8,55,180,6,2022-03-01,ACTIVO,69,2,15,BAJO,2002-05-09,Carrera 35 #123
10003008,Luis,Castillo,luis.castillo@universidad.edu,555-0308,DERECHO,JURIDICA,UNIV001,3.0,35,200,3,2024-03-01,ACTIVO,70,2,14,MEDIO_BAJO,2005-09-21,Diagonal 30 #456
10003009,Elena,Romero,elena.romero@universidad.edu,555-0309,MEDICINA,SALUD,UNIV001,3.3,70,240,7,2021-08-01,ACTIVO,75,1,9,MEDIO,2001-01-12,Calle 45 #789
10003010,Gabriel,Santos,gabriel.santos@universidad.edu,555-0310,ING_INDUSTRIAL,INGENIERIA,UNIV001,2.9,50,180,5,2023-03-01,ACTIVO,67,2,17,BAJO,2003-11-28,Av. Sur #234
10004001,Patricia,Reyes,patricia.reyes@universidad.edu,555-0401,ARQUITECTURA,DISEÑO,UNIV001,4.2,55,170,5,2023-03-01,ACTIVO,88,0,3,MEDIO_ALTO,2003-04-05,Carrera 40 #567
10004002,Oscar,Chavez,oscar.chavez@universidad.edu,555-0402,CONTADURIA,NEGOCIOS,UNIV001,3.8,45,160,4,2023-08-01,ACTIVO,82,0,5,MEDIO,2004-08-17,Diagonal 35 #890
10004003,Teresa,Luna,teresa.luna@universidad.edu,555-0403,ING_SISTEMAS,INGENIERIA,UNIV001,4.0,62,180,6,2022-03-01,ACTIVO,85,0,4,MEDIO_ALTO,2002-01-31,Calle 50 #123
10004004,Manuel,Ramos,manuel.ramos@universidad.edu,555-0404,ADMINISTRACION,NEGOCIOS,UNIV001,3.7,42,160,4,2023-08-01,ACTIVO,80,1,6,MEDIO,2004-12-14,Av. Este #456
10004005,Adriana,Delgado,adriana.delgado@universidad.edu,555-0405,PSICOLOGIA,HUMANIDADES,UNIV001,4.3,60,180,6,2022-03-01,ACTIVO,90,0,2,ALTO,2002-06-26,Carrera 45 #789
10004006,Ernesto,Paredes,ernesto.paredes@universidad.edu,555-0406,DERECHO,JURIDICA,UNIV001,3.9,40,200,3,2024-03-01,ACTIVO,83,0,5,MEDIO_ALTO,2005-02-10,Diagonal 40 #234
10004007,Beatriz,Campos,beatriz.campos@universidad.edu,555-0407,MEDICINA,SALUD,UNIV001,4.5,75,240,7,2021-08-01,ACTIVO,92,0,1,ALTO,2001-09-03,Calle 55 #567
10004008,Victor,Sandoval,victor.sandoval@universidad.edu,555-0408,ING_INDUSTRIAL,INGENIERIA,UNIV001,3.6,58,180,5,2023-03-01,ACTIVO,78,1,7,MEDIO,2003-05-22,Av. Oeste #890
10004009,Claudia,Molina,claudia.molina@universidad.edu,555-0409,ARQUITECTURA,DISEÑO,UNIV001,4.1,52,170,5,2023-03-01,ACTIVO,86,0,3,MEDIO_ALTO,2003-10-11,Carrera 50 #123
10004010,Hector,Vazquez,hector.vazquez@universidad.edu,555-0410,CONTADURIA,NEGOCIOS,UNIV001,3.7,48,160,4,2023-08-01,ACTIVO,81,1,6,MEDIO,2004-04-07,Diagonal 45 #456
